cost_id;employee_id;month;salary_cost;benefits_cost;operational_cost
1;1;1/01/2024;6934.5;2427.07;470.81
2;1;1/02/2024;6737.92;2358.27;461.27
3;1;1/03/2024;6770.88;2369.81;534.38
4;1;1/04/2024;7032.22;2461.28;499.75
5;1;1/05/2024;6774.5;2371.07;542.27
6;1;1/06/2024;6738.25;2358.39;486.42
7;1;1/07/2024;6791.58;2377.05;475.14
8;1;1/08/2024;6931.19;2425.92;539.01
9;1;1/09/2024;6875.08;2406.28;460.44
10;1;1/10/2024;6737.71;2358.2;503.74
11;1;1/11/2024;6773.91;2370.87;452.91
12;1;1/12/2024;6896.25;2413.69;457.09
13;2;1/01/2024;8194.82;3277.93;457.18
14;2;1/02/2024;8184.29;3273.72;472.24
15;2;1/03/2024;8380.25;3352.1;425.71
16;2;1/04/2024;8058.0;3223.2;425.5
17;2;1/05/2024;8109.91;3243.96;442.13
18;2;1/06/2024;8094.72;3237.89;485.22
19;2;1/07/2024;8043.03;3217.21;457.66
20;2;1/08/2024;8035.19;3214.08;444.23
21;2;1/09/2024;8101.34;3240.54;459.85
22;2;1/10/2024;8085.77;3234.31;438.61
23;2;1/11/2024;8200.11;3280.04;422.47
24;2;1/12/2024;8159.57;3263.83;429.27
25;3;1/01/2024;6226.88;2179.41;405.49
26;3;1/02/2024;6305.7;2206.99;368.89
27;3;1/03/2024;6364.36;2227.53;393.46
28;4;1/01/2024;4361.21;872.24;479.52
29;4;1/02/2024;4347.33;869.47;529.46
30;4;1/03/2024;4522.48;904.5;540.56
31;5;1/01/2024;9966.15;3986.46;378.38
32;5;1/02/2024;9896.39;3958.56;401.74
33;5;1/03/2024;10119.18;4047.67;377.32
34;5;1/04/2024;9926.95;3970.78;397.02
35;5;1/05/2024;9699.97;3879.99;394.25
36;5;1/06/2024;10124.32;4049.73;379.83
37;5;1/07/2024;9907.55;3963.02;377.79
38;5;1/08/2024;10151.46;4060.58;435.7
39;5;1/09/2024;10144.68;4057.87;431.86
40;5;1/10/2024;9899.4;3959.76;363.54
41;5;1/11/2024;10183.01;4073.2;418.68
42;6;1/01/2024;9533.31;3813.32;391.55
43;6;1/02/2024;9716.13;3886.45;415.73
44;6;1/03/2024;9377.31;3750.92;399.62
45;6;1/04/2024;9370.21;3748.08;420.25
46;6;1/05/2024;9660.64;3864.26;392.53
47;6;1/06/2024;9434.44;3773.78;388.67
48;6;1/07/2024;9444.47;3777.79;439.92
49;6;1/08/2024;9338.24;3735.3;413.52
50;6;1/09/2024;9407.69;3763.08;396.74
51;6;1/10/2024;9602.19;3840.88;406.69
52;6;1/11/2024;9795.49;3918.2;397.1
53;6;1/12/2024;9396.65;3758.66;416.25
54;7;1/01/2024;3032.21;606.44;307.61
55;7;1/02/2024;3007.37;601.47;270.08
56;7;1/03/2024;2996.03;599.21;293.09
57;7;1/04/2024;3005.43;601.09;301.86
58;7;1/05/2024;2947.04;589.41;315.17
59;7;1/06/2024;3006.51;601.3;306.75
60;7;1/07/2024;2988.31;597.66;282.43
61;7;1/08/2024;3004.52;600.9;307.23
62;7;1/09/2024;2952.84;590.57;325.93
63;7;1/10/2024;2979.35;595.87;324.6
64;7;1/11/2024;2957.03;591.41;273.09
65;7;1/12/2024;2959.84;591.97;297.92
66;8;1/01/2024;7192.28;2876.91;463.34
67;8;1/02/2024;7314.19;2925.68;455.47
68;8;1/03/2024;7338.94;2935.58;417.46
69;8;1/04/2024;7180.93;2872.37;453.57
70;8;1/05/2024;7294.08;2917.63;471.36
71;8;1/06/2024;7331.27;2932.51;483.4
72;8;1/07/2024;7313.46;2925.38;472.79
73;8;1/08/2024;7334.37;2933.75;433.84
74;8;1/09/2024;7383.73;2953.49;450.32
75;8;1/10/2024;7212.63;2885.05;409.9
76;8;1/11/2024;7194.58;2877.83;445.72
77;8;1/12/2024;7240.91;2896.36;479.66
78;9;1/01/2024;3699.65;739.93;479.28
79;9;1/02/2024;3767.19;753.44;445.68
80;9;1/03/2024;3669.56;733.91;465.6
81;9;1/04/2024;3729.3;745.86;493.03
82;9;1/05/2024;3764.2;752.84;421.95
83;9;1/06/2024;3764.35;752.87;412.86
84;9;1/07/2024;3673.7;734.74;421.09
85;9;1/08/2024;3778.0;755.6;411.93
86;9;1/09/2024;3632.18;726.44;415.08
87;9;1/10/2024;3629.09;725.82;418.54
88;9;1/11/2024;3639.44;727.89;490.69
89;9;1/12/2024;3606.07;721.21;442.49
90;10;1/01/2024;7935.11;2777.29;497.39
91;10;1/02/2024;7737.39;2708.09;523.77
92;10;1/03/2024;7583.32;2654.16;468.91
93;10;1/04/2024;7583.53;2654.24;530.2
94;10;1/05/2024;7897.71;2764.2;501.96
95;10;1/06/2024;7704.83;2696.69;507.87
96;11;1/01/2024;10477.6;4191.04;299.17
97;11;1/02/2024;10415.43;4166.17;301.81
98;11;1/03/2024;10355.1;4142.04;297.48
99;11;1/04/2024;10364.76;4145.9;323.9
100;11;1/05/2024;10230.74;4092.3;317.36
101;11;1/06/2024;10189.78;4075.91;292.31
102;11;1/07/2024;10221.31;4088.52;320.73
103;11;1/08/2024;10149.46;4059.78;287.06
104;11;1/09/2024;10564.66;4225.86;307.12
105;11;1/10/2024;10155.86;4062.34;302.12
106;11;1/11/2024;10166.91;4066.76;280.52
107;11;1/12/2024;10437.15;4174.86;324.28
108;12;1/01/2024;6104.08;1526.02;600.2
109;12;1/02/2024;6361.24;1590.31;659.69
110;12;1/03/2024;6190.46;1547.62;633.06
111;12;1/04/2024;6117.64;1529.41;676.93
112;12;1/05/2024;6259.86;1564.96;712.14
113;12;1/06/2024;6099.97;1524.99;643.3
114;12;1/07/2024;6355.59;1588.9;654.37
115;12;1/08/2024;6091.8;1522.95;588.24
116;12;1/09/2024;6341.87;1585.47;684.91
117;12;1/10/2024;6347.04;1586.76;705.62
118;12;1/11/2024;6102.48;1525.62;711.12
119;12;1/12/2024;6222.97;1555.74;650.96
120;13;1/08/2024;5559.79;1389.95;701.48
121;13;1/09/2024;5748.16;1437.04;683.04
122;14;1/01/2024;12130.07;4852.03;423.97
123;14;1/02/2024;12166.97;4866.79;433.78
124;14;1/03/2024;11933.63;4773.45;368.99
125;14;1/04/2024;12017.6;4807.04;363.21
126;14;1/05/2024;12136.72;4854.69;369.35
127;14;1/06/2024;11745.76;4698.3;409.4
128;14;1/07/2024;11862.82;4745.13;388.59
129;14;1/08/2024;11926.26;4770.5;408.65
130;14;1/09/2024;11847.72;4739.09;402.11
131;14;1/10/2024;12198.53;4879.41;421.37
132;14;1/11/2024;11848.06;4739.22;366.69
133;14;1/12/2024;12239.33;4895.73;414.17
134;15;1/01/2024;5034.97;1006.99;440.5
135;15;1/02/2024;4916.2;983.24;459.29
136;15;1/03/2024;4921.36;984.27;410.04
137;15;1/04/2024;4959.34;991.87;440.78
138;15;1/05/2024;4971.38;994.28;443.49
139;15;1/06/2024;4890.66;978.13;406.1
140;15;1/07/2024;4880.58;976.12;432.73
141;15;1/08/2024;4905.21;981.04;455.49
142;15;1/09/2024;4848.96;969.79;484.9
143;15;1/10/2024;4977.63;995.53;442.4
144;15;1/11/2024;4904.46;980.89;419.74
145;15;1/12/2024;4974.32;994.86;485.8
146;16;1/01/2024;10650.58;4260.23;480.2
147;16;1/02/2024;10748.36;4299.34;417.93
148;16;1/03/2024;10591.53;4236.61;493.95
149;16;1/04/2024;10709.71;4283.88;435.19
150;16;1/05/2024;10926.75;4370.7;458.16
151;16;1/06/2024;10630.14;4252.06;405.6
152;16;1/07/2024;10770.11;4308.04;429.6
153;16;1/08/2024;10523.24;4209.3;446.59
154;16;1/09/2024;10732.39;4292.96;487.34
155;16;1/10/2024;10536.2;4214.48;479.91
156;16;1/11/2024;10584.21;4233.68;449.15
157;16;1/12/2024;10868.02;4347.21;432.18
158;17;1/01/2024;5365.96;1341.49;471.59
159;17;1/02/2024;5293.97;1323.49;476.21
160;17;1/03/2024;5275.14;1318.79;432.02
161;17;1/04/2024;5405.07;1351.27;462.29
162;17;1/05/2024;5267.17;1316.79;464.93
163;17;1/06/2024;5310.84;1327.71;421.14
164;17;1/07/2024;5476.16;1369.04;463.03
165;17;1/08/2024;5241.61;1310.4;473.82
166;17;1/09/2024;5365.68;1341.42;492.36
167;17;1/10/2024;5393.94;1348.48;437.56
168;17;1/11/2024;5362.32;1340.58;444.25
169;17;1/12/2024;5302.89;1325.72;466.73
170;18;1/01/2024;5038.87;1007.77;633.52
171;18;1/02/2024;5017.82;1003.56;587.28
172;18;1/03/2024;4900.99;980.2;660.62
173;18;1/04/2024;4873.0;974.6;644.94
174;18;1/05/2024;5008.03;1001.61;631.46
175;18;1/06/2024;4849.99;970.0;631.95
176;18;1/07/2024;4993.95;998.79;709.17
177;18;1/08/2024;4848.96;969.79;622.92
178;18;1/09/2024;4994.62;998.92;594.99
179;18;1/10/2024;4884.77;976.95;666.64
180;18;1/11/2024;5025.65;1005.13;662.84
181;18;1/12/2024;4878.18;975.64;626.94
182;19;1/02/2024;3363.74;672.75;317.99
183;19;1/03/2024;3269.38;653.88;311.88
184;19;1/04/2024;3284.36;656.87;302.07
185;19;1/05/2024;3282.57;656.51;278.62
186;19;1/06/2024;3247.25;649.45;286.89
187;19;1/07/2024;3352.85;670.57;294.72
188;19;1/08/2024;3376.23;675.25;279.78
189;19;1/09/2024;3260.57;652.11;300.2
190;19;1/10/2024;3361.54;672.31;317.71
191;19;1/11/2024;3316.63;663.33;311.38
192;19;1/12/2024;3381.43;676.29;320.76
193;20;1/11/2024;7968.83;2789.09;530.26
194;20;1/12/2024;7857.0;2749.95;541.6
195;21;1/01/2024;7480.93;2992.37;406.56
196;21;1/02/2024;7563.19;3025.28;467.19
197;21;1/03/2024;7483.88;2993.55;444.77
198;21;1/04/2024;7805.61;3122.24;452.08
199;21;1/05/2024;7798.98;3119.59;420.5
200;21;1/06/2024;7546.69;3018.68;472.0
201;21;1/07/2024;7476.14;2990.46;416.58
202;21;1/08/2024;7694.39;3077.76;466.92
203;21;1/09/2024;7547.73;3019.09;423.89
204;21;1/10/2024;7803.15;3121.26;443.23
205;21;1/11/2024;7720.47;3088.19;415.05
206;21;1/12/2024;7438.3;2975.32;448.58
207;22;1/01/2024;3541.69;708.34;362.62
208;22;1/02/2024;3624.6;724.92;407.45
209;22;1/03/2024;3590.48;718.1;432.68
210;22;1/04/2024;3514.3;702.86;384.13
211;22;1/05/2024;3508.4;701.68;367.72
212;22;1/06/2024;3528.71;705.74;408.14
213;22;1/07/2024;3611.68;722.34;376.0
214;22;1/08/2024;3626.53;725.31;362.34
215;22;1/09/2024;3532.6;706.52;419.7
216;22;1/10/2024;3556.18;711.24;406.38
217;22;1/11/2024;3569.57;713.91;428.41
218;22;1/12/2024;3646.25;729.25;409.04
219;23;1/12/2024;3699.88;739.98;531.96
220;24;1/01/2024;10885.9;4354.36;312.95
221;24;1/02/2024;11121.38;4448.55;280.31
222;24;1/03/2024;11007.68;4403.07;270.26
223;24;1/04/2024;10992.17;4396.87;325.45
224;24;1/05/2024;11097.7;4439.08;321.08
225;24;1/06/2024;10856.63;4342.65;311.89
226;24;1/07/2024;10700.01;4280.0;310.41
227;24;1/08/2024;10657.94;4263.18;320.08
228;24;1/09/2024;11130.59;4452.24;295.45
229;24;1/10/2024;10878.01;4351.2;294.45
230;24;1/11/2024;11011.67;4404.67;288.86
231;24;1/12/2024;10851.86;4340.74;301.18
232;25;1/01/2024;9460.71;3784.28;383.06
233;25;1/02/2024;9631.76;3852.7;366.58
234;25;1/03/2024;9523.5;3809.4;390.78
235;25;1/04/2024;9506.07;3802.43;418.89
236;25;1/05/2024;9615.13;3846.05;427.29
237;25;1/06/2024;9396.55;3758.62;392.58
238;25;1/07/2024;9756.33;3902.53;394.24
239;25;1/08/2024;9695.57;3878.23;431.58
240;25;1/09/2024;9669.82;3867.93;435.13
241;25;1/10/2024;9463.65;3785.46;361.02
242;25;1/11/2024;9609.02;3843.61;413.77
243;25;1/12/2024;9477.36;3790.94;401.81
244;26;1/01/2024;4132.46;826.49;636.33
245;26;1/02/2024;4253.13;850.63;712.08
246;26;1/03/2024;4262.85;852.57;701.02
247;26;1/04/2024;4142.83;828.57;632.28
248;26;1/05/2024;4149.2;829.84;611.03
249;26;1/06/2024;4284.35;856.87;637.56
250;26;1/07/2024;4156.28;831.26;640.21
251;26;1/08/2024;4212.07;842.41;684.43
252;26;1/09/2024;4267.99;853.6;662.17
253;26;1/10/2024;4265.97;853.19;689.13
254;26;1/11/2024;4305.14;861.03;631.29
255;26;1/12/2024;4247.19;849.44;708.52
256;27;1/01/2024;6988.81;1747.2;604.16
257;27;1/02/2024;6969.08;1742.27;600.88
258;27;1/03/2024;6981.14;1745.29;615.01
259;27;1/04/2024;7138.58;1784.64;588.86
260;27;1/05/2024;7067.48;1766.87;692.94
261;27;1/06/2024;6984.19;1746.05;588.48
262;27;1/07/2024;6873.32;1718.33;663.6
263;28;1/02/2024;8592.79;3437.12;409.86
264;28;1/03/2024;8790.28;3516.11;412.89
265;28;1/04/2024;8686.57;3474.63;399.38
266;28;1/05/2024;8663.28;3465.31;383.49
267;28;1/06/2024;8677.05;3470.82;400.38
268;28;1/07/2024;8696.28;3478.51;424.76
269;28;1/08/2024;8695.45;3478.18;361.41
270;28;1/09/2024;8791.92;3516.77;439.26
271;28;1/10/2024;8842.07;3536.83;369.53
272;28;1/11/2024;8656.42;3462.57;428.23
273;28;1/12/2024;8653.15;3461.26;362.88
274;29;1/01/2024;5781.51;2023.53;686.32
275;29;1/02/2024;5845.8;2046.03;606.34
276;29;1/03/2024;5716.24;2000.68;625.62
277;29;1/04/2024;5704.36;1996.53;684.32
278;29;1/05/2024;5755.67;2014.48;648.77
279;29;1/06/2024;5751.37;2012.98;655.12
280;29;1/07/2024;5727.4;2004.59;658.09
281;29;1/08/2024;5637.94;1973.28;592.25
282;29;1/09/2024;5668.5;1983.97;661.84
283;29;1/10/2024;5701.14;1995.4;672.94
284;29;1/11/2024;5812.06;2034.22;621.98
285;29;1/12/2024;5610.86;1963.8;661.76
286;30;1/01/2024;2815.76;563.15;477.86
287;30;1/02/2024;2846.44;569.29;473.87
288;30;1/03/2024;2852.25;570.45;439.25
289;30;1/04/2024;2824.47;564.89;494.28
290;30;1/05/2024;2822.18;564.44;410.08
291;30;1/06/2024;2798.53;559.71;426.12
292;30;1/07/2024;2808.1;561.62;412.64
293;30;1/08/2024;2861.11;572.22;483.2
294;30;1/09/2024;2780.23;556.05;420.28
295;30;1/10/2024;2840.02;568.0;408.36
296;30;1/11/2024;2856.85;571.37;443.02
297;30;1/12/2024;2836.68;567.34;442.91
298;31;1/01/2024;7126.76;2850.7;587.89
299;31;1/02/2024;7072.36;2828.94;659.15
300;31;1/03/2024;7074.46;2829.78;597.7
301;32;1/01/2024;9579.1;3831.64;470.59
302;32;1/02/2024;9487.46;3794.98;531.15
303;32;1/03/2024;9568.02;3827.21;466.66
304;32;1/04/2024;9394.35;3757.74;546.94
305;32;1/05/2024;9348.2;3739.28;513.54
306;32;1/06/2024;9712.82;3885.13;457.53
307;32;1/07/2024;9654.39;3861.76;471.41
308;32;1/08/2024;9378.13;3751.25;479.73
309;32;1/09/2024;9523.71;3809.48;530.46
310;32;1/10/2024;9547.81;3819.12;545.79
311;32;1/11/2024;9591.78;3836.71;507.82
312;32;1/12/2024;9532.37;3812.95;477.34
313;33;1/01/2024;9896.57;3958.63;640.52
314;33;1/02/2024;9806.24;3922.5;594.97
315;33;1/03/2024;10040.45;4016.18;650.6
316;33;1/04/2024;9782.93;3913.17;671.25
317;33;1/05/2024;9789.54;3915.82;638.86
318;33;1/06/2024;9759.02;3903.61;652.0
319;33;1/07/2024;9965.64;3986.26;656.18
320;33;1/08/2024;10068.55;4027.42;666.62
321;33;1/09/2024;9889.28;3955.71;609.25
