record_id;employee_id;month;hours_worked;available_hours;overtime_hours
1;1;1/01/2024;157.45;160;0.0
2;1;1/02/2024;147.93;160;0.0
3;1;1/03/2024;159.72;160;0.0
4;1;1/04/2024;172.85;160;12.85
5;1;1/05/2024;146.49;160;0.0
6;1;1/06/2024;146.49;160;0.0
7;1;1/07/2024;173.69;160;13.69
8;1;1/08/2024;161.51;160;1.51
9;1;1/09/2024;142.96;160;0.0
10;1;1/10/2024;158.14;160;0.0
11;1;1/11/2024;143.05;160;0.0
12;1;1/12/2024;143.01;160;0.0
13;2;1/01/2024;153.63;160;0.0
14;2;1/02/2024;121.3;160;0.0
15;2;1/03/2024;124.13;160;0.0
16;2;1/04/2024;141.57;160;0.0
17;2;1/05/2024;134.81;160;0.0
18;2;1/06/2024;154.71;160;0.0
19;2;1/07/2024;136.38;160;0.0
20;2;1/08/2024;128.82;160;0.0
21;2;1/09/2024;171.98;160;11.98
22;2;1/10/2024;146.61;160;0.0
23;2;1/11/2024;151.01;160;0.0
24;2;1/12/2024;128.63;160;0.0
25;3;1/01/2024;141.83;160;0.0
26;3;1/02/2024;151.66;160;0.0
27;3;1/03/2024;132.74;160;0.0
28;4;1/01/2024;155.64;160;0.0
29;4;1/02/2024;140.99;160;0.0
30;4;1/03/2024;145.62;160;0.0
31;5;1/01/2024;140.97;160;0.0
32;5;1/02/2024;177.78;160;17.78
33;5;1/03/2024;149.8;160;0.0
34;5;1/04/2024;134.13;160;0.0
35;5;1/05/2024;162.34;160;2.34
36;5;1/06/2024;131.69;160;0.0
37;5;1/07/2024;153.13;160;0.0
38;5;1/08/2024;120.6;160;0.0
39;5;1/09/2024;130.08;160;0.0
40;5;1/10/2024;152.95;160;0.0
41;5;1/11/2024;161.08;160;1.08
42;6;1/01/2024;152.57;160;0.0
43;6;1/02/2024;148.27;160;0.0
44;6;1/03/2024;145.48;160;0.0
45;6;1/04/2024;127.82;160;0.0
46;6;1/05/2024;139.2;160;0.0
47;6;1/06/2024;143.09;160;0.0
48;6;1/07/2024;165.86;160;5.86
49;6;1/08/2024;155.15;160;0.0
50;6;1/09/2024;123.55;160;0.0
51;6;1/10/2024;154.86;160;0.0
52;6;1/11/2024;144.22;160;0.0
53;6;1/12/2024;139.85;160;0.0
54;7;1/01/2024;159.18;160;0.0
55;7;1/02/2024;165.46;160;5.46
56;7;1/03/2024;163.97;160;3.97
57;7;1/04/2024;137.41;160;0.0
58;7;1/05/2024;145.36;160;0.0
59;7;1/06/2024;154.97;160;0.0
60;7;1/07/2024;164.63;160;4.63
61;7;1/08/2024;142.81;160;0.0
62;7;1/09/2024;147.22;160;0.0
63;7;1/10/2024;133.4;160;0.0
64;7;1/11/2024;132.06;160;0.0
65;7;1/12/2024;162.19;160;2.19
66;8;1/01/2024;170.34;160;10.34
67;8;1/02/2024;148.92;160;0.0
68;8;1/03/2024;165.05;160;5.05
69;8;1/04/2024;155.42;160;0.0
70;8;1/05/2024;140.32;160;0.0
71;8;1/06/2024;155.42;160;0.0
72;8;1/07/2024;173.07;160;13.07
73;8;1/08/2024;149.46;160;0.0
74;8;1/09/2024;173.47;160;13.47
75;8;1/10/2024;110.7;160;0.0
76;8;1/11/2024;162.33;160;2.33
77;8;1/12/2024;151.31;160;0.0
78;9;1/01/2024;145.51;160;0.0
79;9;1/02/2024;151.38;160;0.0
80;9;1/03/2024;120.19;160;0.0
81;9;1/04/2024;146.7;160;0.0
82;9;1/05/2024;155.36;160;0.0
83;9;1/06/2024;172.17;160;12.17
84;9;1/07/2024;142.23;160;0.0
